"id","username","price","sale_date"
6631,"handong","20.00","2025-03-15 18:01:37"
6632,"beizhan","50.00","2025-03-15 18:00:46"
6633,"krakenb","9.50","2025-03-15 17:58:08"
6634,"diplomatism","13.00","2025-03-15 17:53:19"
6635,"i6033","10.00","2025-03-15 17:50:21"
6636,"flashtxt","11.00","2025-03-15 17:49:37"
6637,"linera","98.00","2025-03-15 17:44:38"
6638,"o_6_6","99.00","2025-03-15 17:40:08"
6639,"trezorbank","20.00","2025-03-15 17:34:20"
6640,"wazzj","10.00","2025-03-15 17:33:44"
6641,"l8200","10.00","2025-03-15 17:32:41"
6642,"maloti","6.50","2025-03-15 17:32:28"
6643,"vip_249","7.50","2025-03-15 17:32:15"
6644,"solarisbank","56.00","2025-03-15 17:26:07"
6645,"build_eu","10.00","2025-03-15 17:23:03"
6646,"xanbuy","10.00","2025-03-15 17:18:36"
6647,"xiaoxiannv","88.00","2025-03-15 17:16:53"
6648,"daily_ru","10.00","2025-03-15 17:11:40"
6649,"ze888","75.00","2025-03-15 17:10:41"
6650,"baoyangzhinan","10.00","2025-03-15 17:09:56"
6651,"qgg62","9.00","2025-03-15 17:07:29"
6652,"mellstroyeng","8.00","2025-03-15 17:01:00"
6653,"past","5303.00","2025-03-15 17:00:26"
6654,"vptaxi","14.00","2025-03-15 16:57:47"
6655,"aura0","15.00","2025-03-15 16:56:23"
6656,"birsozli","13.00","2025-03-15 16:54:41"
6657,"cartepresta","10.00","2025-03-15 16:40:01"
6658,"yonghumingdaquan","10.00","2025-03-15 16:39:29"
6659,"princeharry","303.00","2025-03-15 16:38:54"
6660,"omgibbi","10.00","2025-03-15 16:35:42"
6661,"texturized","11.00","2025-03-15 16:32:33"
6662,"blogers_news","10.00","2025-03-15 16:31:03"
6663,"jetpixo","10.00","2025-03-15 16:30:06"
6664,"aztix","10.00","2025-03-15 16:29:00"
6665,"gopixo","10.00","2025-03-15 16:26:49"
6666,"axtir","10.00","2025-03-15 16:25:10"
6667,"nimingshe","10.00","2025-03-15 16:24:57"
6668,"axkul","10.00","2025-03-15 16:24:14"
6669,"shayiting","10.00","2025-03-15 16:21:47"
6670,"alaskaada","104.00","2025-03-15 16:18:50"
6671,"d6300","11.00","2025-03-15 16:14:34"
6672,"queenplay","7.00","2025-03-15 16:14:31"
6673,"b7300","11.00","2025-03-15 16:13:32"
6674,"y9500","11.00","2025-03-15 16:13:07"
6675,"baoliaozhan","30.00","2025-03-15 16:08:40"
6676,"j_p_f","19.00","2025-03-15 16:04:22"
6677,"facee666","12.00","2025-03-15 15:59:16"
