"username","price"
"sofik","104.00"
"betsdapp","7.99"
"tobetray","10.00"
"proxydapp","7.99"
"cryst","15.14"
"g0ldgo","10.00"
"lockchainai","10.00"
"gqqq4","10.00"
"devoured","400.00"
"mindlab","104.00"
"holldblum","10.00"
"dev_goldman","10.00"
"judgge","10.00"
"cctv01","104.00"
"tonfoundation1","10.00"
"uxnot","20.00"
"t_h_v","21.00"
"imsycho","10.00"
"ip2me","10.00"
"leg1on_adm","10.00"
"pzddd","12.00"
"ojjoo","26.00"
"wonnhee","10.00"
"hc_florida","8.00"
"carthageca","8.00"
"kanzb","104.00"
"kaichun","8.00"
"pcpc","6300.00"
"idx222","15.00"
"zeus9","16.00"
"sum1_no1","10.00"
"xibi","5050.00"
"wwwwd","100.00"
"cryptix","10.00"
"sueler","10.00"
"mkfle","10.00"
"dublax","10.00"
"skidkovedbot","10.00"
"svipbro","19.00"
"bogdan_trip_new","10.00"
"resellingbitcoin","10.00"
"zh_cnwdd","10.00"
"zh_cnwff","10.00"
"zh_cnw77","10.00"
"zh_cnjzz","10.00"
"zh_cnjoo","10.00"
"zh_cnjjv","10.00"
"zh_cnjja","10.00"
"zh_cnjay","10.00"
"zh_cnbss","10.00"
"zh_cnbll","10.00"
"zh_cnbab","10.00"
"zh_cne08","10.00"
"zh_cnexx","11.00"
"zh_cnu04","10.00"
"zh_cnddb","10.00"
"zh_cndaa","10.00"
"zh_cndll","10.00"
"as_as","10.00"
"nagummo","10.00"
"vfb_fc","8.00"
"senoritaa","10.00"
"grrim","16.00"
"cbbxx","10.00"
"dogola","104.00"
"os1int","10.00"
"uc000","16.00"
"llotso","10.00"
"hoowe","10.00"
"lord_vasete","10.00"
"yanmktg","10.00"
"sliznort","10.00"
"bangsatd","9.00"
"cknba","9.00"
"nightwing","104.00"
"safecheck","104.00"
"rl4321","9.00"
"godlywest","10.00"
"web4p","210.00"
"loversdubai","11.00"
"peter3","10.00"
"segarr","10.00"
"wantok","10.00"
"paysp","13.00"
"gtbsg","200.00"
"suzhdenie","8.00"
"u80000e","10.00"
"ziprb","8.00"
"rock_now","9.00"
"sociapatik","10.00"
"zilon","11.00"
"iiiid","176.00"
"ebatmamonta","10.00"
"funsvip","104.00"
"aitshnya","100.00"
"tonflowers","104.00"
"tingshuonb","10.00"
"pay992","10.00"
"savob","42.00"
"girangg","10.00"
"mushao","88.00"
"joooooooo","11.00"
"queenx","11.00"
"coges","11.00"
"vmild","10.00"
"demon114","10.00"
"chiang","8.00"
"cypherinvestment","104.00"
"unknownpaste","10.00"
"targetusers","9.00"
"afganica","10.00"
"rodra","11.00"
"vip06o","8.00"
"alex78","19.00"
"quantumva","104.00"
"satoshipremium182","3200.00"
"vooos","12.00"
"deelbot","104.00"
"productchat","10.00"
"nonpocu","10.00"
"win678","61.00"
"fiipv","8.00"
"soyeon","114.00"
"saphira","19.00"
"sertufn","10.00"
"buduile","10.00"
"buduidi","10.00"
"ehaly","12.00"
"jellal","104.00"
"qingkui","12.00"
"all_stars","104.00"
"vv7744","9.00"
"bandai","140.00"
"namco","240.00"
"sacrament","333.33"
"pparty","15.00"
"vanaert","8.00"
"k666r","14.00"
"car2x","10.00"
"kkkhhk","10.10"
"umrahaj","10.00"
"networkstrader","8.00"
"bole","5050.00"
"fulldefend","11.00"
"sentrlik","30.00"
"mjantan","8.00"
"exemps","10.99"
"coachwhales","10.00"
"garreter","8.10"
"peepees","10.00"
"achuan","104.00"
"aheng","104.00"
"neprostorbn","10.00"
"kabaq","10.00"
"len333","10.00"
"jennixe","10.00"
"betu","5050.00"
"pytestbdd","10.00"
"blikbig","10.00"
"hangzhou_666","10.00"
"master_busines","10.00"
"nezir","26.00"
"dzpay","104.00"
"tg_combine","104.00"
"gullds","104.00"
"kurtqobain","9.00"
"giftstelega","18.00"
"syuuu","42.00"
"fusang","13.00"
"cereal","345.68"
"xiian","9.00"
"hwpayqun","10.00"
"thaina","9.00"
"t_a_z","30.00"
"fathefr","10.00"
"boss577","10.00"
"telekeci","8.00"
"ebed_tg","8.00"
"poujie","10.00"
"kingarthur","199.00"
"genite","10.00"
"socialneed","11.00"
"dajiating","104.00"
"durovtime","11.00"
"zhongjieb","10.00"
"zuche7","10.00"
"yuwuriymain","10.00"
"id3435","8.00"
"tg2225","8.00"
"vskirt","10.00"
"tapswap_buyer","7.00"
"oryoloblast","7.00"
"eldor_khalliyev","7.00"
"mollar_qoylar_mushuklar_itlar","7.00"
"oooroof","10.00"
"aigrim","6.00"
"angelicdawn","6.00"
"exendacvv","10.00"
"yinniu","11.00"
"kosovoserbian","20.00"
"dilinur","50.00"
"sounghoon","12.00"
"dilfv","12.00"
"banna","122.00"
"ranzkyle","104.00"
"nianaguerrero","104.00"
"lively","333.00"
"recent","765.00"
"nawep","12.00"
"latviya","39.00"
"siarlyo","10.00"
"jailyneojedat","10.00"
"andy_tokk","10.00"
"crypto_gifts","29.40"
"seikyo","11.00"
"amstedy","10.00"
