"id","username","price","sale_date"
6691,"alfac","104.00","2025-03-15 14:52:37"
6724,"yf666","104.00","2025-03-15 13:19:34"
6755,"pc_tg","104.00","2025-03-15 11:38:17"
6756,"tg_pc","104.00","2025-03-15 11:37:44"
6760,"myyyy","104.00","2025-03-15 11:22:49"
6767,"zzzhz","116.00","2025-03-15 11:03:07"
6397,"buy88","120.00","2025-03-15 09:08:30"
6399,"nnnne","104.00","2025-03-15 09:06:05"
6453,"youni","104.00","2025-03-15 07:08:57"
6454,"aiyao","112.00","2025-03-15 07:08:16"
6457,"dylww","104.00","2025-03-15 06:54:06"
6491,"nnnnl","104.00","2025-03-15 04:01:14"
6492,"nnnnr","104.00","2025-03-15 03:51:16"
6545,"vvviv","104.00","2025-03-14 22:49:17"
6565,"r5rrr","100.00","2025-03-14 21:07:02"
6603,"xixia","104.00","2025-03-14 19:31:15"
6607,"quqqq","100.00","2025-03-14 19:18:44"
6363,"eldor","104.00","2025-03-14 18:37:54"
6365,"oooo5","104.00","2025-03-14 18:37:34"
6370,"dahak","104.00","2025-03-14 18:33:16"
6372,"covit","100.00","2025-03-14 18:24:24"
6375,"obbbb","104.00","2025-03-14 18:15:12"
6376,"xwwww","104.00","2025-03-14 18:02:53"
6380,"vtttt","104.00","2025-03-14 17:54:18"
6383,"ytttt","104.00","2025-03-14 17:52:59"
6384,"vdddd","104.00","2025-03-14 17:50:46"
6385,"vhhhh","104.00","2025-03-14 17:50:00"
6022,"fillm","104.00","2025-03-14 11:23:40"
6059,"gmgnn","104.00","2025-03-14 08:58:33"
6145,"taman","104.00","2025-03-14 03:51:06"
6154,"pg777","100.00","2025-03-14 02:33:13"
6164,"ppppy","104.00","2025-03-14 01:27:54"
6212,"praha","123.00","2025-03-13 21:46:17"
6260,"rameo","118.00","2025-03-13 18:55:05"
6277,"riiii","116.00","2025-03-13 18:29:22"
6301,"diiii","104.00","2025-03-13 18:02:14"
6308,"pivko","104.00","2025-03-13 17:47:08"
6309,"stttt","104.00","2025-03-13 17:46:49"
6345,"zffff","111.00","2025-03-13 16:43:40"
4877,"wg888","104.00","2025-03-13 14:52:30"
4893,"sofik","104.00","2025-03-13 14:06:20"
4917,"kanzb","104.00","2025-03-13 12:56:13"
4923,"wwwwd","100.00","2025-03-13 12:44:51"
4481,"aheng","104.00","2025-03-13 05:55:43"
4492,"dzpay","104.00","2025-03-13 05:25:50"
4532,"banna","122.00","2025-03-13 02:16:10"
4352,"huide","104.00","2025-03-12 23:03:36"
3563,"fll02","104.00","2025-03-12 20:53:58"
3565,"fll01","104.00","2025-03-12 20:53:03"
3588,"gffff","110.00","2025-03-12 20:02:38"
3265,"amped","104.00","2025-03-12 19:10:30"
3183,"legos","142.00","2025-03-12 17:06:17"
3204,"uouuu","138.00","2025-03-12 16:13:27"
3205,"usuuu","143.00","2025-03-12 16:12:20"
2696,"tgfun","104.00","2025-03-12 14:20:32"
2393,"ccctc","135.00","2025-03-12 03:21:45"
2414,"hilol","104.00","2025-03-12 00:51:57"
2420,"roben","104.00","2025-03-12 00:47:46"
2421,"mehan","104.00","2025-03-12 00:46:41"
2456,"handa","114.00","2025-03-11 21:26:33"
2515,"pk444","104.00","2025-03-11 18:26:32"
2590,"sf123","104.00","2025-03-11 16:20:52"
2016,"so_so","104.00","2025-03-11 08:03:24"
2023,"mifan","104.00","2025-03-11 07:58:26"
2027,"friut","104.00","2025-03-11 07:51:18"
2071,"hexit","104.00","2025-03-11 06:08:02"
2074,"hjpay","104.00","2025-03-11 05:51:08"
2079,"gm666","104.00","2025-03-11 05:35:50"
2081,"gm999","104.00","2025-03-11 05:35:00"
2083,"gm111","131.00","2025-03-11 05:25:43"
2088,"fk888","104.00","2025-03-11 05:05:26"
2089,"yw888","104.00","2025-03-11 05:04:46"
2090,"ke888","104.00","2025-03-11 05:04:08"
2160,"daier","116.00","2025-03-11 01:22:55"
1959,"cccbc","116.00","2025-03-11 00:38:44"
97,"ahror","104.00","2025-03-10 19:05:49"
100,"fswap","104.00","2025-03-10 18:53:28"
105,"tttt3","104.00","2025-03-10 18:44:23"
131,"nnnhn","100.00","2025-03-10 17:28:54"
133,"phot9","104.00","2025-03-10 17:27:32"
144,"iosss","104.00","2025-03-10 17:00:36"
176,"pc338","111.00","2025-03-10 15:24:19"
184,"xdvip","104.00","2025-03-10 15:04:23"
187,"aaeee","126.00","2025-03-10 14:56:17"
204,"gg555","104.00","2025-03-10 13:50:51"
220,"cjgs8","100.00","2025-03-10 13:19:17"
222,"cjgs5","100.00","2025-03-10 13:17:31"
223,"cjgs4","100.00","2025-03-10 13:16:52"
224,"cjgs3","100.00","2025-03-10 13:16:28"
225,"cjgs2","100.00","2025-03-10 13:14:28"
227,"cjgs1","100.00","2025-03-10 13:13:54"
285,"laotg","104.00","2025-03-10 10:23:45"
302,"lf888","104.00","2025-03-10 09:32:15"
361,"smtyc","104.00","2025-03-10 06:10:34"
399,"cry_y","113.00","2025-03-10 01:10:07"
430,"yetim","104.00","2025-03-09 20:22:24"
