"username","price"
"aura0","15.00"
"j_p_f","19.00"
"c_h_l","15.00"
"pofff","20.00"
"j_u_w","22.00"
"y_ddd","20.00"
"d_v_s","20.00"
"i_0_1","15.00"
"r_q_s","25.00"
"execy","15.00"
"l2l22","24.00"
"g_o_i","20.00"
"l_h_v","20.00"
"n_c_t","23.19"
"x_w_p","20.00"
"c_3_k","15.00"
"m_mm1","15.00"
"upggg","15.00"
"f_s_q","18.00"
"fsssb","18.00"
"dablu","19.00"
"lefak","24.00"
"k_h_r","25.00"
"overc","15.00"
"ppbuy","15.00"
"rwuuu","15.00"
"aura0","15.00"
"vsbbb","20.00"
"yq123","19.00"
"ravin","20.00"
"m5666","15.00"
"x2999","15.00"
"l_d_p","18.01"
"qiafa","15.00"
"r_f_n","19.00"
"o_q_l","17.01"
"c_j_x","18.00"
"nsssi","17.00"
"nrrra","16.00"
"t_a_w","18.00"
"ringg","19.18"
"b_y_4","16.00"
"kwnnn","16.00"
"vddvd","21.00"
"k_009","15.00"
"krbtc","15.00"
"cryst","15.14"
"uxnot","20.00"
"t_h_v","21.00"
"zeus9","16.00"
"grrim","16.00"
"uc000","16.00"
"rrret","19.00"
"q_c_z","17.01"
"v_n_b","20.01"
"f_l_z","18.02"
"k_6_n","15.01"
"c_8_w","17.00"
"shao1","20.00"
"yq123","20.00"
"i6669","20.00"
"yj111","25.00"
"ecccv","23.10"
"zx333","25.00"
"juyoo","15.00"
"pucky","19.00"
"zoror","15.00"
"lordv","16.00"
"k_6_s","16.01"
"ydaaa","16.00"
"eeear","20.00"
"damix","19.00"
"lhero","15.00"
"rithy","19.00"
"aaiam","18.00"
"mmozd","20.00"
"q_y_z","20.00"
"l_z_x","17.00"
"mryan","19.00"
"v_i_g","19.19"
"k_q_w","19.00"
"i_p_n","19.00"
"w_n_j","20.01"
"h_t_r","18.00"
"everr","20.00"
"wesst","15.00"
"dinku","19.00"
"x_h_v","20.00"
"ifxxx","16.00"
"etobu","20.00"
"acohe","15.00"
"pehol","15.00"
"hukun","20.00"
"zenai","15.00"
"v_s_f","20.00"
"a_3_i","15.00"
"ryans","18.00"
"g_z_c","18.00"
"cg558","20.00"
"tq995","20.00"
"siiic","15.00"
"l_a_n","20.00"
"katre","19.00"
"y_n_l","18.00"
"z_m_h","18.00"
"dppdp","21.00"
"bleee","25.00"
"ul111","25.00"
"trxjy","20.00"
"q_i_w","15.00"
"w_i_h","17.00"
"wzhhh","20.00"
"tannn","20.00"
"yusen","21.00"
"n_p_y","19.00"
"methi","16.00"
"myyth","16.00"
"delan","15.00"
"o_z_j","19.00"
"t_g_y","15.00"
"y_a_u","16.00"
"hount","16.00"
"v_e_l","16.00"
"y_2_u","15.00"
"okex0","15.00"
"mouyi","15.00"
"mafik","21.00"
"wzzzs","20.00"
"odsin","15.00"
"mafaz","19.00"
"haocu","15.00"
"d_f_c","15.00"
"ggg18","20.00"
"noahk","19.00"
"johnm","19.00"
"stefa","19.00"
"aqiqi","21.00"
"ngggo","15.00"
"wwwll","25.00"
"hh11h","25.00"
